Benchmark,Kernel,L1_RH,L1_RM,L1_WH,L1_WM,CC_ACC,SHRD_ACC,DRAM_Rd,DRAM_Wr,L2_RH,L2_RM,L2_WH,L2_WM,NOC,Pipeline_Duty,Num_Idle_SMs,Elapsed_Cycles,Chip Voltage
b+tree-rodinia-3.1,findRangeK,1633336.0,562120.0,40853.0,19419.0,0.0,0.0,259526.0,3546.0,397493.0,259511.0,60000.0,0.0,1345086.0,0.32743624738033866,4.047999999999998,66420.8,1.0
b+tree-rodinia-3.1,findK,1321644.0,528038.0,42719.0,7345.0,0.0,0.0,255073.0,2566.0,366821.0,255282.0,50000.0,0.0,1244636.0,0.27407277367861305,3.0240000000000045,80887.075,1.0
backprop-rodinia-3.1,_Z22bpnn_layerforward_CUDAPfS_S_S_ii,49152.0,144021.0,192393.0,4172.0,0.0,413696.0,147464.0,60089.0,29030.0,147460.0,196608.0,0.0,704512.0,0.5499491786237634,7.455999999999996,23833.475,1.0
backprop-rodinia-3.1,_Z24bpnn_adjust_weights_cudaPfiS_iS_S_,466494.0,279339.0,326941.0,633.0,0.0,0.0,286738.0,190810.0,54154.0,286734.0,327686.0,0.0,1262510.0,0.20252596773009784,9.832,32359.875,1.0
hotspot-rodinia-3.1,_Z14calculate_tempiPfS_S_iiiiffffff,4649.0,690232.0,12.0,175104.0,0.0,997428.0,262147.0,65651.0,486712.0,262144.0,175104.0,0.0,1732190.0,0.9784616419605113,2.824,54627.075,1.0
kmeans-rodinia-3.1,_Z11kmeansPointPfiiiPiS_S_S0_,0.0,0.0,0.0,102400.0,4352103.5,0.0,12331030.0,92240.5,6750338.0,12298576.0,102400.0,0.0,26095864.0,0.11426397294022872,0.8179999999999987,894071.5125,1.0
srad_v1-rodinia-3.1,_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,158292.07000000004,89037.33000000002,0.0,143700.0,0.0,0.0,29001.54000000003,52306.209999999985,68101.14000000001,28984.00000000001,143700.0,0.0,481283.8599999998,0.5255448452776836,0.14268240000000001,14468.927000000003,1.0
parboil-sad,_Z11mb_sad_calcPtS_ii,98428.0,414770.0,2101283.0,7289552.0,0.0,10033920.0,258041.0,8720500.0,8785693.0,257280.0,9390720.0,0.0,36342690.0,0.2515562279459212,0.11199999999999655,6544693.55,1.0
parboil-sgemm,_Z9mysgemmNTPKfiS0_iPfiiff,7110380.0,2452672.0,133832.0,1856.0,0.0,8642304.0,393276.0,110281.0,2059848.0,393088.0,135168.0,0.0,5175848.0,0.5456668030221089,1.344000000000003,361310.6,1.0
parboil-mri-q,_Z12ComputeQ_GPUiiPfS_S_S_S_,0.0,163840.0,65298.0,522.0,17620645.0,0.0,164412.0,39393.0,0.0,163840.0,65536.0,0.0,458752.0,0.5736525278767792,6.006,695814.7250000001,1.0
dct8x8,_Z14CUDAkernel1DCTPfiiiy,0.0,0.0,765.5999999999999,32138.4,786458.1999999998,114688.00000000001,32792.200000000004,2408.1,16383.999999999998,32767.999999999996,32767.999999999996,0.0,131071.99999999999,0.06066161843484693,0.7654400000000001,24309.7975,1.0
dct8x8,_Z14CUDAkernel2DCTPfS_i,0.0,32768.00000000002,0.0,32768.00000000002,0.0,49152.00000000004,32790.30693069303,1316.1584158415842,0.0,32768.00000000002,32768.00000000002,0.0,131072.0000000001,0.13820926200152303,0.28049328497206144,6110.305445544554,1.0
binomialOptions,_Z21binomialOptionsKernelv,0.0,0.0,0.0,1024.0,23779.0,16778240.0,640.0,0.0,0.0,0.0,1024.0,0.0,2048.0,0.6441303028177775,2.1440000000000037,1369889.025,1.0
fastWalshTransform,_Z15fwtBatch2KernelPfS_i,0.0,1048576.0000000002,780492.2222222222,269977.77777777775,0.0,0.0,1048616.7777777775,1012739.6666666665,0.0,1048576.0000000002,1048576.0000000002,0.0,4194304.000000001,0.08329717962271588,0.19925925925925922,126019.58333333334,1.0
fastWalshTransform,_Z15fwtBatch1KernelPfS_i,0.0,1048576.0,641029.3333333333,399957.3333333334,0.0,3407872.0,1048662.3333333333,1038812.6666666667,0.0,1048576.0,1048576.0,0.0,4194304.0,0.3802580290058728,0.4853333333333332,150810.68333333335,1.0
histogram,_Z17histogram64KernelPjP5uint4j,0.0,2097152.0,0.0,34960.0,0.0,4893504.000000001,2097186.4117647056,36414.70588235294,0.0,2097152.0,34960.0,0.0,4264223.999999999,0.3315826627163687,0.2437923875432526,148546.6573529412,1.0
mergeSort,_Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j,0.0,1048576.0,0.0,1048576.0,0.0,12976128.0,1048580.0,949813.0,0.0,1048576.0,1048576.0,0.0,4194304.0,0.9076648610397655,1.7279999999999962,442242.525,1.0
mergeSort,_Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj,152520.6666666667,1127674.5,439674.4166666666,830044.6666666666,0.0,3670010.1666666665,1056796.0000000002,959627.4166666666,199703.08333333334,1056768.0,1269875.1666666667,0.0,4878555.0,0.45080521087544284,0.10855555555555545,156528.5166666667,1.0
quasirandomGenerator,_Z26quasirandomGeneratorKernelPfjj,0.0,0.0,0.0,393215.9999999999,47624.61904761906,0.0,51.09523809523809,317040.7619047619,0.0,0.0,393215.9999999999,0.0,786431.9999999998,0.6111450799428467,0.8311655328798185,80602.62857142858,1.0
quasirandomGenerator,_Z16inverseCNDKernelPfPjj,0.0,0.0,0.0,393215.9999999999,0.0,0.0,9.380952380952378,294940.2380952381,0.0,0.0,393215.9999999999,0.0,786431.9999999998,0.3075647188183995,0.27531972789115644,58342.24047619048,1.0
sobolQRNG,_Z15sobolGPU_kerneljjPjPf,172848.0,31964.0,0.0,1250000.0,0.0,1899700.0,409.0,1151786.0,31528.0,400.0,1250000.0,0.0,2563904.0,0.6380356220384485,2.303999999999995,112082.3,1.0
