# Metrics for NVIDIA GeForce RTX 5090
# Total: 3534
#----------------------------------------------------------------------------------------------------
# Metric Name                                                            Type            Unit           
#----------------------------------------------------------------------------------------------------
dram__bytes                                                            Counter         byte           
dram__bytes_read                                                       Counter         byte           
dram__bytes_write                                                      Counter         byte           
dram__cycles_active                                                    Counter         cycle          
dram__cycles_active_read                                               Counter         cycle          
dram__cycles_active_write                                              Counter         cycle          
dram__cycles_elapsed                                                   Counter         cycle          
dram__cycles_in_frame                                                  Counter         cycle          
dram__cycles_in_region                                                 Counter         cycle          
dram__sectors                                                          Counter         sector         
dram__sectors_read                                                     Counter         sector         
dram__sectors_write                                                    Counter         sector         
dram__throughput                                                       Throughput      %              
fbpa__cycles_active                                                    Counter         cycle          
fbpa__cycles_elapsed                                                   Counter         cycle          
fbpa__cycles_in_frame                                                  Counter         cycle          
fbpa__cycles_in_region                                                 Counter         cycle          
fbpa__dram_read_bytes                                                  Counter         byte           
fbpa__dram_read_sectors                                                Counter         sector         
fbpa__dram_read_throughput                                             Throughput      %              
fbpa__dram_sectors                                                     Counter         sector         
fbpa__dram_write_bytes                                                 Counter         byte           
fbpa__dram_write_sectors                                               Counter         sector         
fbpa__dram_write_throughput                                            Throughput      %              
fbpa__throughput                                                       Throughput      %              
fe__cycles_active                                                      Counter         cycle          
fe__cycles_elapsed                                                     Counter         cycle          
fe__cycles_in_frame                                                    Counter         cycle          
fe__cycles_in_region                                                   Counter         cycle          
fe__output_ops_cmd_go_idle                                             Counter         ops            
fe__output_ops_type_bundle_cmd_go_idle                                 Counter         ops            
gpc__cgas_active                                                       Counter         cycle          
gpc__cgas_active_realtime                                              Counter         cycle          
gpc__cgas_completed                                                    Counter         #              
gpc__cgas_launched                                                     Counter         #              
gpc__cycles_active                                                     Counter         cycle          
gpc__cycles_elapsed                                                    Counter         cycle          
gpc__cycles_in_frame                                                   Counter         cycle          
gpc__cycles_in_region                                                  Counter         cycle          
gpu__compute_memory_access_throughput                                  Throughput      %              
gpu__compute_memory_access_throughput_internal_activity                Throughput      %              
gpu__compute_memory_request_throughput                                 Throughput      %              
gpu__compute_memory_request_throughput_internal_activity               Throughput      %              
gpu__compute_memory_throughput                                         Throughput      %              
gpu__cycles_active                                                     Counter         cycle          
gpu__cycles_elapsed                                                    Counter         cycle          
gpu__cycles_in_frame                                                   Counter         cycle          
gpu__cycles_in_region                                                  Counter         cycle          
gpu__dram_throughput                                                   Throughput      %              
gpu__time_active                                                       Counter         ns             
gpu__time_duration                                                     Counter         ns             
gpu__time_duration_measured_user                                       Counter         ns             
gpu__time_duration_measured_wallclock                                  Counter         ns             
gpu__time_end                                                          Counter         ns             
gpu__time_start                                                        Counter         ns             
gr__ctas_completed                                                     Counter         block          
gr__ctas_launched                                                      Counter         block          
gr__ctas_launched_realtime                                             Counter         block          
gr__cycles_active                                                      Counter         cycle          
gr__cycles_elapsed                                                     Counter         cycle          
gr__cycles_idle                                                        Counter         cycle          
gr__cycles_in_frame                                                    Counter         cycle          
gr__cycles_in_region                                                   Counter         cycle          
gr__workids_granted                                                    Counter         #              
gr__workids_granted_as_ctas                                            Counter         block          
gr__workids_granted_as_ctas_realtime                                   Counter         block          
gr__workids_requested                                                  Counter         #              
idc__cycles_active                                                     Counter         cycle          
idc__cycles_elapsed                                                    Counter         cycle          
idc__cycles_in_frame                                                   Counter         cycle          
idc__cycles_in_region                                                  Counter         cycle          
idc__request_cycles_active                                             Counter         cycle          
idc__request_hit_rate                                                  Ratio           proportion     
idc__requests                                                          Counter         #              
idc__requests_lookup_hit                                               Counter         #              
idc__requests_lookup_miss                                              Counter         #              
l1tex__average_t_sectors_per_request                                   Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu                          Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_dshared              Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_dshared_op_atom      Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_dshared_op_ld        Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_dshared_op_redas     Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_dshared_op_st        Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_atom       Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld         Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ldgsts_cache_access Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_red        Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st         Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_lg                   Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_ld          Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_st          Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex                          Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface              Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_atom      Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_ld        Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_red       Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_st        Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture              Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_ld        Ratio           sector         
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_tex       Ratio           sector         
l1tex__cycles_active                                                   Counter         cycle          
